bom,id,name,taxonomy_id,parent_id,parent_name,type,filter,filter_parent,filter_priority
,1,Emergency,101,,,service,FALSE,FALSE,
,2,Disaster Response,101-01,101,Emergency,service,FALSE,FALSE,
,3,Emergency Cash,101-02,101,Emergency,service,FALSE,FALSE,
,4,Help Pay for Food,101-02-01,101-02,Emergency Cash,service,FALSE,FALSE,
,5,Help Pay for Healthcare,101-02-02,101-02,Emergency Cash,service,FALSE,FALSE,
,6,Help Pay for Housing,101-02-03,101-02,Emergency Cash,service,FALSE,FALSE,
,7,Help Pay for Gas,101-02-04,101-02,Emergency Cash,service,FALSE,FALSE,
,8,Help Pay for School,101-02-05,101-02,Emergency Cash,service,FALSE,FALSE,
,9,Help Pay for Utilities,101-02-06,101-02,Emergency Cash,service,FALSE,FALSE,
,10,Emergency Food,101-03,101,Emergency,service,FALSE,FALSE,
,11,Emergency Shelter,101-04,101,Emergency,service,FALSE,FALSE,
,12,Help Find Missing Persons,101-05,101,Emergency,service,FALSE,FALSE,
,13,Immediate Safety,101-06,101,Emergency,service,FALSE,FALSE,
,14,Help Escape Violence,101-06-01,101-06,Immediate Safety,service,FALSE,FALSE,
,15,Safe Housing,101-06-02,101-06,Immediate Safety,service,FALSE,FALSE,
,16,Psychiatric Emergency Services,101-07,101,Emergency,service,FALSE,FALSE,
,17,Food,102,,,service,FALSE,FALSE,
,18,Community Gardens,102-01,102,Food,service,FALSE,FALSE,
,19,Emergency Food,102-02,102,Food,service,FALSE,FALSE,
,20,Food Delivery,102-03,102,Food,service,FALSE,FALSE,
,21,Food Pantry,102-04,102,Food,service,FALSE,FALSE,
,22,Free Meals,102-05,102,Food,service,FALSE,FALSE,
,23,Help Pay for Food,102-06,102,Food,service,FALSE,FALSE,
,24,Food Benefits,102-06-01,102-06,Help Pay for Food,service,FALSE,FALSE,
,25,Nutrition,102-07,102,Food,service,FALSE,FALSE,
,26,Housing,103,,,service,FALSE,FALSE,
,27,Emergency Shelter,103-01,103,Housing,service,FALSE,FALSE,
,28,Help Find Housing,103-02,103,Housing,service,FALSE,FALSE,
,29,Help Pay for Housing,103-03,103,Housing,service,FALSE,FALSE,
,30,Help Pay for Utilities,103-03-01,103-03,Help Pay for Housing,service,FALSE,FALSE,
,31,Help Pay for Internet or Phone,103-03-02,103-03,Help Pay for Housing,service,FALSE,FALSE,
,32,Home & Renters Insurance,103-03-03,103-03,Help Pay for Housing,service,FALSE,FALSE,
,33,Housing Vouchers,103-03-04,103-03,Help Pay for Housing,service,FALSE,FALSE,
,34,Maintenance & Repairs,103-04,103,Housing,service,FALSE,FALSE,
,35,Housing Advice,103-05,103,Housing,service,FALSE,FALSE,
,36,Foreclosure Counseling,103-05-01,103-05,Housing Advice,service,FALSE,FALSE,
,37,Homebuyer Education,103-05-02,103-05,Housing Advice,service,FALSE,FALSE,
,38,Residential Housing,103-06,103,Housing,service,FALSE,FALSE,
,39,Long-Term Housing,103-06-01,103-06,Residential Housing,service,FALSE,FALSE,
,40,Assisted Living,103-06-01-01,103-06-01,Long-Term Housing,service,FALSE,FALSE,
,41,Independent Living,103-06-01-02,103-06-01,Long-Term Housing,service,FALSE,FALSE,
,42,Nursing Home,103-06-01-03,103-06-01,Long-Term Housing,service,FALSE,FALSE,
,43,Public Housing,103-06-01-04,103-06-01,Long-Term Housing,service,FALSE,FALSE,
,44,Safe Housing,103-07,103,Housing,service,FALSE,FALSE,
,45,Housing Legal Services,103-08,103,Housing,service,FALSE,FALSE,
,46,Short-Term Housing,103-09,103,Housing,service,FALSE,FALSE,
,47,Nursing Home,103-09-01,103-09,Short-Term Housing,service,FALSE,FALSE,
,48,Sober Living,103-09-02,103-09,Short-Term Housing,service,FALSE,FALSE,
,49,Goods,104,,,service,FALSE,FALSE,
,50,Baby Supplies,104-01,104,Goods,service,FALSE,FALSE,
,51,Baby Clothes,104-01-01,104-01,Baby Supplies,service,FALSE,FALSE,
,52,Diapers & Formula,104-01-02,104-01,Baby Supplies,service,FALSE,FALSE,
,53,Pumping Equipment,104-01-03,104-01,Baby Supplies,service,FALSE,FALSE,
,54,Clothing,104-02,104,Goods,service,FALSE,FALSE,
,55,Baby Clothes,104-02-01,104-02,Clothing,service,FALSE,FALSE,
,56,Clothes for School,104-02-02,104-02,Clothing,service,FALSE,FALSE,
,57,Clothes for Work,104-02-03,104-02,Clothing,service,FALSE,FALSE,
,58,Clothing Vouchers,104-02-04,104-02,Clothing,service,FALSE,FALSE,
,59,Home Goods,104-03,104,Goods,service,FALSE,FALSE,
,60,Blankets & Fans,104-03-01,104-03,Home Goods,service,FALSE,FALSE,
,61,Books,104-03-02,104-03,Home Goods,service,FALSE,FALSE,
,62,Furniture,104-03-03,104-03,Home Goods,service,FALSE,FALSE,
,63,Home Fuels,104-03-04,104-03,Home Goods,service,FALSE,FALSE,
,64,Efficient Appliances,104-03-05,104-03,Home Goods,service,FALSE,FALSE,
,65,Personal Care Items,104-03-06,104-03,Home Goods,service,FALSE,FALSE,
,66,Supplies for Work,104-03-07,104-03,Home Goods,service,FALSE,FALSE,
,67,Medical Supplies,104-04,104,Goods,service,FALSE,FALSE,
,68,Assistive Technology,104-04-01,104-04,Medical Supplies,service,FALSE,FALSE,
,69,Toys & Gifts,104-05,104,Goods,service,FALSE,FALSE,
,70,Transit,105,,,service,FALSE,FALSE,
,71,Help Pay for Transit,105-01,105,Transit,service,FALSE,FALSE,
,72,Bus Passes,105-01-01,105-01,Help Pay for Transit,service,FALSE,FALSE,
,73,Help Pay for Gas,105-01-02,105-01,Help Pay for Transit,service,FALSE,FALSE,
,74,Transportation,105-02,105,Transit,service,FALSE,FALSE,
,75,Transportation for Healthcare,105-02-01,105-02,Transportation,service,FALSE,FALSE,
,76,Transportation for School,105-02-02,105-02,Transportation,service,FALSE,FALSE,
,77,Health,106,,,service,FALSE,FALSE,
,78,Substance Use Disorder,106-01,106,Health,service,TRUE,TRUE,900
,79,Treatment Setting,106-01-01,106-01,Substance Use Disorder,service,TRUE,FALSE,
,80,Outpatient Treatment,106-01-01-01,106-01-01,Treatment Setting,service,TRUE,FALSE,
,81,(Level 1) Regular Outpatient Treatment,106-01-01-01-01,106-01-01-01,Outpatient Treatment,service,TRUE,FALSE,
,82,(Level 2.1) Intensive Outpatient Treatment,106-01-01-01-02,106-01-01-01,Outpatient Treatment,service,TRUE,FALSE,
,83,(Level 2.5) Outpatient Day Treatment or partial hospitalization,106-01-01-01-03,106-01-01-01,Outpatient Treatment,service,TRUE,FALSE,
,84,Residential Treatment,106-01-01-02,106-01-01,Treatment Setting,service,TRUE,FALSE,
,85,Recovery Housing,106-01-01-02-01,106-01-01-02,Residential Treatment,service,TRUE,FALSE,
,86,(Level 3.1) Transitional housing or Halfway House,106-01-01-02-02,106-01-01-02,Residential Treatment,service,TRUE,FALSE,
,87,(Level 3.3) Residential Treatment,106-01-01-02-03,106-01-01-02,Residential Treatment,service,TRUE,FALSE,
,88,(Level 3.5) Residential Treatment,106-01-01-02-04,106-01-01-02,Residential Treatment,service,TRUE,FALSE,
,89,(Level 3.7) Residential Treatment,106-01-01-02-05,106-01-01-02,Residential Treatment,service,TRUE,FALSE,
,90,Hospital Inpatient Treatment,106-01-01-03,106-01-01,Treatment Setting,service,TRUE,FALSE,
,91,(Level 4) Hospital Inpatient,106-01-01-03-01,106-01-01-03,Hospital Inpatient Treatment,service,TRUE,FALSE,
,92,Type of Care,106-01-02,106-01,Substance Use Disorder,service,TRUE,FALSE,
,93,Medication-Assisted Treatment (MAT) Provided,106-01-02-01,106-01-02,Type of Care,service,TRUE,FALSE,
,94,Opioid Use Disorders,106-01-02-01-01,106-01-02-01,Medication-Assisted Treatment (MAT) Provided,service,TRUE,FALSE,
,95,Methadone,106-01-02-01-01-01,106-01-02-01-01,Opioid Use Disorders,service,TRUE,FALSE,
,96,Buprenorphine,106-01-02-01-01-02,106-01-02-01-01,Opioid Use Disorders,service,TRUE,FALSE,
,97,Naltrexone,106-01-02-01-01-03,106-01-02-01-01,Opioid Use Disorders,service,TRUE,FALSE,
,98,Alcohol Use Disorders,106-01-02-01-02,106-01-02-01,Medication-Assisted Treatment (MAT) Provided,service,TRUE,FALSE,
,99,Acamprosate,106-01-02-01-02-01,106-01-02-01-02,Alcohol Use Disorders,service,TRUE,FALSE,
,100,Disulfiram,106-01-02-01-02-02,106-01-02-01-02,Alcohol Use Disorders,service,TRUE,FALSE,
,101,Naltrexone,106-01-02-01-02-03,106-01-02-01-02,Alcohol Use Disorders,service,TRUE,FALSE,
,102,Nicotine Use Disorders,106-01-02-01-03,106-01-02-01,Medication-Assisted Treatment (MAT) Provided,service,TRUE,FALSE,
,103,Bupropion,106-01-02-01-03-01,106-01-02-01-03,Nicotine Use Disorders,service,TRUE,FALSE,
,104,(NRTs) Nicotine Replacement Therapies,106-01-02-01-03-02,106-01-02-01-03,Nicotine Use Disorders,service,FALSE,FALSE,
,105,Varenicline,106-01-02-01-03-03,106-01-02-01-03,Nicotine Use Disorders,service,TRUE,FALSE,
,106,Withdrawal Management,106-01-02-02,106-01-02,Type of Care,service,TRUE,FALSE,
,107,Behavioral Therapy,106-01-02-03,106-01-02,Type of Care,service,TRUE,FALSE,
,108,(ACT) Acceptance and Commitment Therapy,106-01-02-03-01,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,109,(CBT) Cognitive Behavioral Therapy,106-01-02-03-02,106-01-02-03,Behavioral Therapy,service,FALSE,FALSE,
,110,(MAT) Medicaiton Assisted Treatment,106-01-02-03-03,106-01-02-03,Behavioral Therapy,service,FALSE,FALSE,
,111,(MET) Motivational Enhancement Therapy,106-01-02-03-04,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,112,(MI) Motivational Interviewing,106-01-02-03-05,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,113,Psychoeducation,106-01-02-03-06,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,114,Psychotherapy,106-01-02-03-07,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,115,(RP) Relapse Prevention,106-01-02-03-08,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,116,(SFGT) Solution-Focused Group Therapy,106-01-02-03-09,106-01-02-03,Behavioral Therapy,service,FALSE,FALSE,
,117,(SE) Supportive Expressive Psychotherapy,106-01-02-03-10,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,118,Trauma Informed Treatment,106-01-02-03-11,106-01-02-03,Behavioral Therapy,service,TRUE,FALSE,
,119,Dental Care,106-02,106,Health,service,FALSE,FALSE,
,120,End-of-Life Care,106-03,106,Health,service,FALSE,FALSE,
,121,Bereavement,106-03-01,106-03,End-of-Life Care,service,FALSE,FALSE,
,122,Burial & Funeral Help,106-03-02,106-03,End-of-Life Care,service,FALSE,FALSE,
,123,Hospice,106-03-03,106-03,End-of-Life Care,service,FALSE,FALSE,
,124,Pain Management,106-03-04,106-03,End-of-Life Care,service,FALSE,FALSE,
,125,Health Education,106-04,106,Health,service,FALSE,FALSE,
,126,Daily Life Skills,106-04-01,106-04,Health Education,service,FALSE,FALSE,
,127,Disease Management,106-04-02,106-04,Health Education,service,FALSE,FALSE,
,128,Family Planning,106-04-03,106-04,Health Education,service,FALSE,FALSE,
,129,Nutrition,106-04-04,106-04,Health Education,service,FALSE,FALSE,
,130,Parenting Education,106-04-05,106-04,Health Education,service,FALSE,FALSE,
,131,Sex Education,106-04-06,106-04,Health Education,service,FALSE,FALSE,
,132,Understand Disability,106-04-07,106-04,Health Education,service,FALSE,FALSE,
,133,Understand Mental Health,106-04-08,106-04,Health Education,service,FALSE,FALSE,
,134,Help Pay for Healthcare,106-05,106,Health,service,FALSE,FALSE,
,135,Disability Benefits,106-05-01,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,136,Discounted Healthcare,106-05-02,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,137,Health Insurance,106-05-03,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,138,Medical Supplies,106-05-04,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,139,Prosthesis,106-05-04-01,106-05-04,Medical Supplies,service,FALSE,FALSE,
,140,Durable Medical Equipment,106-05-04-02,106-05-04,Medical Supplies,service,FALSE,FALSE,
,141,Prescription Assistance,106-05-05,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,142,Transportation for Healthcare,106-05-06,106-05,Help Pay for Healthcare,service,FALSE,FALSE,
,143,Medical Care,106-06,106,Health,service,FALSE,FALSE,
,144,Alternative Medicine,106-06-01,106-06,Medical Care,service,FALSE,FALSE,
,145,Assistive Technology,106-06-02,106-06,Medical Care,service,FALSE,FALSE,
,146,Birth Control,106-06-03,106-06,Medical Care,service,FALSE,FALSE,
,147,Checkup & Test,106-06-04,106-06,Medical Care,service,FALSE,FALSE,
,148,Disability Screening,106-06-04-01,106-06-04,Checkup & Test,service,FALSE,FALSE,
,149,Disease Screening,106-06-04-02,106-06-04,Checkup & Test,service,FALSE,FALSE,
,150,Hearing Tests,106-06-04-03,106-06-04,Checkup & Test,service,FALSE,FALSE,
,151,Mental Health Evaluation,106-06-04-04,106-06-04,Checkup & Test,service,FALSE,FALSE,
,152,Pregnancy Tests,106-06-04-05,106-06-04,Checkup & Test,service,FALSE,FALSE,
,153,Vision Tests,106-06-04-06,106-06-04,Checkup & Test,service,FALSE,FALSE,
,154,Exercise & Fitness,106-06-05,106-06,Medical Care,service,FALSE,FALSE,
,155,Fertility,106-06-06,106-06,Medical Care,service,FALSE,FALSE,
,156,Maternity Care,106-06-07,106-06,Medical Care,service,FALSE,FALSE,
,157,Skilled Nursing,106-06-08,106-06,Medical Care,service,FALSE,FALSE,
,158,Mental Health,106-07,106,Health,service,TRUE,TRUE,1100
,159,Treatment Setting,106-07-01,106-07,Mental Health,service,TRUE,FALSE,
,160,Outpatient Treatment,106-07-01-01,106-07-01,Treatment Setting,service,TRUE,FALSE,
,161,Integrated behavioral health programs,106-07-01-01-01,106-07-01-01,Outpatient Treatment,service,TRUE,FALSE,
,162,Mobile treatment services,106-07-01-01-02,106-07-01-01,Outpatient Treatment,service,TRUE,FALSE,
,163,Outpatient mental health centers,106-07-01-01-03,106-07-01-01,Outpatient Treatment,service,TRUE,FALSE,
,164,Psychiatric day treatment programs,106-07-01-01-04,106-07-01-01,Outpatient Treatment,service,TRUE,FALSE,
,165,Psychiatric rehabilitation program for adults,106-07-01-01-05,106-07-01-01,Outpatient Treatment,service,TRUE,FALSE,
,166,Intensive Outpatient Treatment,106-07-01-02,106-07-01,Treatment Setting,service,TRUE,FALSE,
,167,Intensive outpatient programs,106-07-01-02-01,106-07-01-02,Intensive Outpatient Treatment,service,TRUE,FALSE,
,168,Partial hospital programs,106-07-01-02-02,106-07-01-02,Intensive Outpatient Treatment,service,TRUE,FALSE,
,169,Hospital Treatment,106-07-01-03,106-07-01,Treatment Setting,service,TRUE,FALSE,
,170,Observation service,106-07-01-03-01,106-07-01-03,Hospital Treatment,service,TRUE,FALSE,
,171,Acute inpatient psychiatric hospitalization,106-07-01-03-02,106-07-01-03,Hospital Treatment,service,TRUE,FALSE,
,172,Residential Treatment,106-07-01-04,106-07-01,Treatment Setting,service,TRUE,FALSE,
,173,Group homes for adults with mental illness,106-07-01-04-01,106-07-01-04,Residential Treatment,service,TRUE,FALSE,
,174,Residential crisis services,106-07-01-04-02,106-07-01-04,Residential Treatment,service,TRUE,FALSE,
,175,Respite care services,106-07-01-04-03,106-07-01-04,Residential Treatment,service,TRUE,FALSE,
,176,Pharmacotherapies Available,106-07-02,106-07,Mental Health,service,FALSE,FALSE,
,177,Postnatal Care,106-08,106,Health,service,FALSE,FALSE,
,178,Prevent & Treat,106-09,106,Health,service,FALSE,FALSE,
,179,Counseling,106-09-01,106-09,Prevent & Treat,service,FALSE,FALSE,
,180,HIV Treatment,106-09-02,106-09,Prevent & Treat,service,FALSE,FALSE,
,181,Pain Management,106-09-03,106-09,Prevent & Treat,service,FALSE,FALSE,
,182,Disease Management,106-09-04,106-09,Prevent & Treat,service,FALSE,FALSE,
,183,Nursing Home,106-09-05,106-09,Prevent & Treat,service,FALSE,FALSE,
,184,Physical Therapy,106-09-06,106-09,Prevent & Treat,service,FALSE,FALSE,
,185,Specialized Therapy,106-09-07,106-09,Prevent & Treat,service,FALSE,FALSE,
,186,Vaccinations,106-09-08,106-09,Prevent & Treat,service,FALSE,FALSE,
,187,In-Home Support,106-09-09,106-09,Prevent & Treat,service,FALSE,FALSE,
,188,Residential Treatment,106-09-10,106-09,Prevent & Treat,service,TRUE,FALSE,
,189,Outpatient Treatment,106-09-11,106-09,Prevent & Treat,service,TRUE,FALSE,
,190,Hospital Treatment,106-09-12,106-09,Prevent & Treat,service,TRUE,FALSE,
,191,Primary Care,106-10,106,Health,service,FALSE,FALSE,
,192,Drug Testing,106-11,106,Health,service,FALSE,FALSE,
,193,Drug Testing-First Test,106-11-01,106-11,Drug Testing,service,FALSE,FALSE,
,194,Drug Testing-Confirmatory Test,106-11-02,106-11,Drug Testing,service,FALSE,FALSE,
,195,Drug Testing-Mobile Unit,106-11-03,106-11,Drug Testing,service,FALSE,FALSE,
,196,Drug Testing-Failed Attempt,106-11-04,106-11,Drug Testing,service,FALSE,FALSE,
,197,Drug Testing-Interpreter Services,106-11-05,106-11,Drug Testing,service,FALSE,FALSE,
,198,Vision Care,106-12,106,Health,service,FALSE,FALSE,
,199,Psychiatric Emergency Services,106-13,106,Health,service,FALSE,FALSE,
,200,Money,107,,,service,FALSE,FALSE,
,201,Financial Assistance,107-01,107,Money,service,FALSE,FALSE,
,202,Help Pay for Childcare,107-01-01,107-01,Financial Assistance,service,FALSE,FALSE,
,203,Help Pay for Food,107-01-02,107-01,Financial Assistance,service,FALSE,FALSE,
,204,Food Benefits,107-01-02-01,107-01-02,Help Pay for Food,service,FALSE,FALSE,
,205,Help Pay for Healthcare,107-01-03,107-01,Financial Assistance,service,FALSE,FALSE,
,206,Disability Benefits,107-01-03-01,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,207,Discounted Healthcare,107-01-03-02,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,208,Health Insurance,107-01-03-03,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,209,Medical Supplies,107-01-03-04,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,210,Prosthesis,107-01-03-04-01,107-01-03-04,Medical Supplies,service,FALSE,FALSE,
,211,Durable Medical Equipment,107-01-03-04-02,107-01-03-04,Medical Supplies,service,FALSE,FALSE,
,212,Prescription Assistance,107-01-03-05,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,213,Transportation for Healthcare,107-01-03-06,107-01-03,Help Pay for Healthcare,service,FALSE,FALSE,
,214,Help Pay for Housing,107-01-04,107-01,Financial Assistance,service,FALSE,FALSE,
,215,Help Pay for Utilities,107-01-04-01,107-01-04,Help Pay for Housing,service,FALSE,FALSE,
,216,Home & Renters Insurance,107-01-04-02,107-01-04,Help Pay for Housing,service,FALSE,FALSE,
,217,Maintenance & Repairs,107-01-04-03,107-01-04,Help Pay for Housing,service,FALSE,FALSE,
,218,Help Pay for School,107-01-05,107-01,Financial Assistance,service,FALSE,FALSE,
,219,Books,107-01-05-01,107-01-05,Help Pay for School,service,FALSE,FALSE,
,220,Clothes for School,107-01-05-02,107-01-05,Help Pay for School,service,FALSE,FALSE,
,221,Laundry for Students,107-01-05-03,107-01-05,Help Pay for School,service,FALSE,FALSE,
,222,Financial Aid & Loans,107-01-05-04,107-01-05,Help Pay for School,service,FALSE,FALSE,
,223,Transportation for School,107-01-05-05,107-01-05,Help Pay for School,service,FALSE,FALSE,
,224,Supplies for School,107-01-05-06,107-01-05,Help Pay for School,service,FALSE,FALSE,
,225,Help Pay for Transit,107-01-06,107-01,Financial Assistance,service,FALSE,FALSE,
,226,Help Pay for Gas,107-01-06-01,107-01-06,Help Pay for Transit,service,FALSE,FALSE,
,227,Bus Passes,107-01-06-02,107-01-06,Help Pay for Transit,service,FALSE,FALSE,
,228,Help Pay for Car,107-01-06-03,107-01-06,Help Pay for Transit,service,FALSE,FALSE,
,229,Help Pay for Work Expenses,107-01-07,107-01,Financial Assistance,service,FALSE,FALSE,
,230,Government Benefits,107-02,107,Money,service,FALSE,FALSE,
,231,Disability Benefits,107-02-01,107-02,Government Benefits,service,FALSE,FALSE,
,232,Food Benefits,107-02-02,107-02,Government Benefits,service,FALSE,FALSE,
,233,Retirement Benefits,107-02-03,107-02,Government Benefits,service,FALSE,FALSE,
,234,Understand Government Programs,107-02-04,107-02,Government Benefits,service,FALSE,FALSE,
,235,Unemployment Benefits,107-02-05,107-02,Government Benefits,service,FALSE,FALSE,
,236,Financial Education,107-03,107,Money,service,FALSE,FALSE,
,237,Credit Counseling,107-03-01,107-03,Financial Education,service,FALSE,FALSE,
,238,Foreclosure Counseling,107-03-02,107-03,Financial Education,service,FALSE,FALSE,
,239,Homebuyer Education,107-03-03,107-03,Financial Education,service,FALSE,FALSE,
,240,Savings Program,107-03-04,107-03,Financial Education,service,FALSE,FALSE,
,241,Insurance,107-04,107,Money,service,FALSE,FALSE,
,242,Health Insurance,107-04-01,107-04,Insurance,service,FALSE,FALSE,
,243,Home & Renters Insurance,107-04-02,107-04,Insurance,service,FALSE,FALSE,
